,counts,id,time,var1,var2,var3,var4,var5,var6
51279,0,CT0005700,2014,62676,62,152,1,0.184262666,0
46764,0,CT0005700,2015,62942,39,152,1,0.184262666,0
42249,0,CT0005700,2016,62970,52,151,1,0.184262666,0
55795,0,CT0005800,2013,3493,0,7,1,0.184262666,0
51280,0,CT0005800,2014,3484,0,7,1,0.184262666,0
46765,0,CT0005800,2015,3463,0,7,1,0.184262666,0
42250,0,CT0005800,2016,3432,0,7,1,0.184262666,0
55796,0,CT0005900,2013,9359,180,28,1,0.184262666,0
51281,0,CT0005900,2014,9338,179,27,1,0.184262666,0
46766,0,CT0005900,2015,9278,219,27,1,0.184262666,0
42251,0,CT0005900,2016,9189,179,27,1,0.184262666,0
55797,0,CT0006000,2013,22409,22,37,1,0.184262666,0
51282,0,CT0006000,2014,22425,47,36,1,0.184262666,0
46767,0,CT0006000,2015,22421,23,36,1,0.184262666,0
42252,0,CT0006000,2016,22343,32,33,1,0.184262666,0
55798,0,CT0006200,2013,60829,464,103,1,0.184262666,0
51283,0,CT0006200,2014,61599,352,106,1,0.184262666,0
46768,0,CT0006200,2015,61372,353,107,1,0.184262666,0
42253,0,CT0006200,2016,61138,375,108,1,0.184262666,0
55804,1,CT0008000,2013,60558,1133,117,1,0.184262666,0
51289,0,CT0008000,2014,60352,1029,119,1,0.184262666,0
46774,0,CT0008000,2015,60149,1090,122,1,0.184262666,0
42259,0,CT0008000,2016,59812,1043,113,1,0.184262666,0
55805,0,CT0008100,2013,7570,23,10,1,0.184262666,0
51290,0,CT0008100,2014,7569,29,10,1,0.184262666,0
46775,0,CT0008100,2015,7594,17,10,1,0.184262666,0
42260,0,CT0008100,2016,7645,17,11,1,0.184262666,0
55806,0,CT0008300,2013,47221,859,99,1,0.184262666,0
51291,0,CT0008300,2014,47256,856,110,1,0.184262666,0
46776,0,CT0008300,2015,46894,751,109,1,0.184262666,0
42261,0,CT0008300,2016,46580,763,109,1,0.184262666,0
55807,0,CT0008400,2013,53041,200,114,1,0.184262666,0
51292,0,CT0008400,2014,53222,189,110,1,0.184262666,0
46777,0,CT0008400,2015,53499,144,108,1,0.184262666,0
42262,0,CT0008400,2016,53752,190,116,1,0.184262666,0
55808,0,CT0008500,2013,19889,19,42,1,0.184262666,0
51293,0,CT0008500,2014,19916,29,42,1,0.184262666,0
46778,0,CT0008500,2015,19958,28,42,1,0.184262666,0
42263,0,CT0008500,2016,19898,23,43,1,0.184262666,0
55810,0,CT0008800,2013,31744,396,59,1,0.184262666,0
51295,0,CT0008800,2014,31668,310,57,1,0.184262666,0
46780,0,CT0008800,2015,31603,300,56,1,0.184262666,0
42265,0,CT0008800,2016,31469,298,57,1,0.184262666,0
55811,1,CT0008900,2013,73134,848,156,1,0.184262666,0
51296,0,CT0008900,2014,72864,893,161,1,0.184262666,0
46781,0,CT0008900,2015,72788,899,157,1,0.184262666,0
42266,0,CT0008900,2016,72720,784,161,1,0.184262666,0
55812,0,CT0009000,2013,20224,29,43,1,0.184262666,0
51297,0,CT0009000,2014,20302,31,47,1,0.184262666,0
46782,0,CT0009000,2015,20449,12,47,1,0.184262666,0
42267,0,CT0009000,2016,20509,21,45,1,0.184262666,0
55813,0,CT0009300,2013,131071,6531,385,1,0.184262666,0
51298,0,CT0009300,2014,130882,5183,458,1,0.184262666,0
46783,0,CT0009300,2015,130403,5149,425,1,0.184262666,0
42268,0,CT0009300,2016,130425,5116,454,1,0.184262666,0
55814,0,CT0009400,2013,30612,105,52,1,0.184262666,0
51299,0,CT0009400,2014,30803,115,51,1,0.184262666,0
46784,0,CT0009400,2015,30714,126,50,1,0.184262666,0
42269,0,CT0009400,2016,30610,130,51,1,0.184262666,0
55815,0,CT0009500,2013,27738,827,68,1,0.184262666,0
51300,1,CT0009500,2014,27526,575,67,1,0.184262666,0
46785,0,CT0009500,2015,27312,576,68,1,0.184262666,0
42270,0,CT0009500,2016,27092,525,77,1,0.184262666,0
55818,0,CT0009900,2013,14369,59,22,1,0.184262666,0
51303,0,CT0009900,2014,14339,73,23,1,0.184262666,0
46788,0,CT0009900,2015,14300,62,22,1,0.184262666,0
42273,0,CT0009900,2016,14234,54,22,1,0.184262666,0
55819,0,CT0010100,2013,24013,67,47,1,0.184262666,0
